species,source collection,accession no.,scan facility,scaling factor,pixel size
Allocapnia indianae,NHM London,NHMUK013672276,KIT light source,0.95,2.53
Amphinemura kawaii,NHM London,NHMUK013672310,KIT light source,0.93,2.58
Amphinemura standfussi,ZSM Munich,,DESY P05,1,5.13
Amphinemura sulcicollis,NHM London,NHMUK013672277,KIT light source,1,2.4
Antarctoperla michaelseni,O. Béthoux,,KIT light source,0.64,3.75
Aphanicerca capensis,NHM London,NHMUK013672278,KIT light source,0.67,6.27
Aphanicercella barnardi,NHM London,NHMUK013672279,KIT light source,1,2.4
Aphanicercopsis tabularis,NHM London,NHMUK013672280,KIT light source,1,2.4
Arcynopteryx dichroa,NHM Vienna,,KIT light source,0.7,3.43
Aubertoperla illiesi,O. Béthoux,,KIT light source,0.88,4.77
Austrocerca tasmanica,NHM London,NHMUK013672330,KIT light source,0.93,2.58
Austroperla cyrene,NHM London,NHMUK013672284,KIT light source,0.54,4.44
Besdolus imhoffi,NHM London,NHMUK013672292,KIT light source,0.55,4.36
Brachyptera risi,NHM London,NHMUK013672282,KIT light source,0.65,3.69
Brachyptera trifasciata,MfN Berlin,,KIT light source,1,2.4
Capnia atra,NHM London,NHMUK013672286,KIT light source,1,2.4
Capnia lacustra,A. Caires,,KIT light source,1,1.2
Capnioneura nemuroides,NHM London,NHMUK013672287,KIT light source,1,2.4
Cerconychia livida,O. Béthoux,,KIT light source,1,2.4
Chilenoperla semitincta,O. Béthoux,,KIT light source,0.65,3.69
Chloroperla susemicheli,P. Zwick,,KIT light source,0.85,1.44
Chloroperla tripunctata,MNHM Paris,,KIT light source,0.83,2.89
Desmonemoura pulchella,NHM London,NHMUK013672293,KIT light source,0.87,2.76
Diamphipnoa annulata,MfN Berlin,,DESY P05,1,11
Diamphipnopsis virescentipennis,P. Pessacq,,KIT light source,0.43,5.58
Dictyogenus fontium,P. Zwick,,KIT light source,1,5.5
Dinocras cephalotes,NHM London,NHMUK013672318,KIT light source,0.5,4.8
Dinotoperla evansi,NHM London,NHMUK013672294,KIT light source,0.72,3.33
Diura bicaudata,NHM London,NHMUK013672295,KIT light source,0.51,4.71
Doddsia occidentalis,NHM London,NHMUK013672297,KIT light source,0.66,3.64
Eusthenia lacustris,priv. coll.,,DESY P05,0.94,4.89
Eusthenia spectabilis,O. Béthoux,,KIT light source,0.41,5.85
Falklandoperla kelper,NHM London,NHMUK013672298,KIT light source,0.8,3
Illiesoperla australis,NHM London,NHMUK013672325,KIT light source,0.96,2.5
Isocapnia grandis,NHM London,NHMUK013672299,KIT light source,0.44,5.45
Isoperla moselyi,NHM London,NHMUK013672303,KIT light source,0.64,3.75
Isoperla similis,NHM London,NHMUK013672291,KIT light source,0.69,3.48
Kempnyia neotropica,NHM Vienna,,KIT light source,1,5.22
Leptoperla australica,NHM London,NHMUK013672306,KIT light source,0.71,3.38
Leuctra braueri,NHM London,NHMUK013672305,KIT light source,0.76,3.16
Leuctra pseudocylindrica,MNHM Paris,,KIT light source,0.66,3.64
Mesonemoura mastigophora,P. Zwick,,KIT light source,0.6,2.03
Nemoura cinerea,P. Zwick,,KIT light source,0.73,1.67
Nemurella pictetii,NHM London,NHMUK013672317,KIT light source,0.75,3.2
Neoperla clymene,NHM London,NHMUK013672309,KIT light source,0.63,3.81
Neuroperla schedingi,O. Béthoux,,KIT light source,0.34,7.06
Obipteryx sp.,priv. coll.,,KIT light source,1,2.4
Oemopteryx fosketti,NHM London,NHMUK013672315,KIT light source,0.62,3.87
Pachyleuctra benllochi,NHM London,NHMUK013672313,KIT light source,0.78,3.08
Paracapnia opis,O. Béthoux,,KIT light source,1,2.4
Paragnetina media,NHM London,NHMUK013672312,KIT light source,0.45,5.33
Perla marginata,MNHM Paris,,KIT light source,0.5,4.8
Perlesta placida,NHM London,NHMUK013672321,KIT light source,0.64,3.75
Perlinella drymo,NHM London,NHMUK013672320,KIT light source,0.42,5.71
Perlodes intricatus,NHM London,,KIT light source,0.46,5.22
Perlodes microcephalus,MNHM Paris,,KIT light source,0.39,6.15
Perlomyia mahunkai,P. Zwick,,KIT light source,1,1.22
Protonemura lateralis,NHM London,NHMUK013672319,KIT light source,0.67,3.58
Pteronarcella regularis,NHM London,NHMUK013672324,KIT light source,0.56,4.29
Pteronarcys californica,NHM London,NHMUK013672323,DESY Phoenix nanotom,0.53,6.52
Rhabdiopteryx neglecta,NHM London,NHMUK013672329,KIT light source,0.61,3.93
Scopura montana,O. Béthoux,,KIT light source,0.33,12.73
Senzilloides panguipullii,O. Béthoux,,KIT light source,0.65,3.69
Setvena tibialis,O. Béthoux,,KIT light source,0.25,9.6
Siphonoperla torrentium,NHM London,NHMUK013672289,KIT light source,0.92,2.61
Stenoperla prasina,P. Zwick,,KIT light source,1,5.5
Suwallia pallidula,NHM London,NHMUK013672273,KIT light source,1,2.4
Taenionema pacificum,NHM London,NHMUK013672326,KIT light source,0.58,4.14
Taeniopteryx nebulosa,NHM London,NHMUK013672327,KIT light source,0.62,3.87
Teutoperla brundini,O. Béthoux,,KIT light source,0.99,2.42
Thaumatoperla robusta,O. Béthoux,,DESY Phoenix nanotom,1,8.57
Tyrrhenoleuctra minuta,P. Zwick,,KIT light source,1,1.22
Utacapnia poda,O. Béthoux,,KIT light source,0.77,3.12
Yoraperla brevis,NHM London,NHMUK013672314,KIT light source,0.97,2.47
